"q","covariance_rank_bound","conditional_identification_witness_pass","condition"
0,0,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
1,1,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
2,2,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
3,3,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
4,4,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
5,5,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
6,6,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
7,7,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
8,8,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
9,9,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
10,10,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
11,11,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
12,12,TRUE,"Conditional on independent full profile support with positive cross-task probability; loading rotations are normalized only computationally."
