"moderator","primary_15","timing","raw_missing_task_rows","preprocessing"
"gender_num",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"age",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"income",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"educ_Middle",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"educ_High",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"party_Republican",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"party_Independent",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"region_NORTHEAST",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"region_SOUTH",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"region_WEST",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"employ_parttime",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"employ_homemaker",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"employ_not_working",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"employ_retired",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"employ_student",TRUE,"pre-conjoint panel/demographic",0,"training-fold centering/scaling"
"ideo_conservative",FALSE,"post-conjoint survey item",15,"training-fold median imputation, then centering/scaling"
"vote_trump",FALSE,"post-conjoint survey item",0,"training-fold median imputation, then centering/scaling"
"vote_clinton",FALSE,"post-conjoint survey item",0,"training-fold median imputation, then centering/scaling"
"gender_att",FALSE,"post-conjoint survey item",6,"training-fold median imputation, then centering/scaling"
